Name,Year,Rating,Genre,Director,Cast,URL
The Lunchbox,2013,7.7,"Drama, Romance",Ritesh Batra,Irrfan Khan,"https://m.media-amazon.com/images/M/MV5BMTUwMzc1NjIzMV5BMl5BanBnXkFtZTgwODUyMTIxMTE@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Tashkent Files,2019,7.7,"Drama, Mystery, Thriller",Vivek Agnihotri,Shweta Basu Prasad,"https://m.media-amazon.com/images/M/MV5BYzk3NWM2MmItZGU5NS00MGEwLWIzYzMtMDkyZDQ1NTc2MTAxXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_UX45_CR0,0,45,67_AL_.jpg"
Thulladha Manamum Thullum,1999,7.7,"Drama, Romance",Ezhil,Thalapathy Vijay,"https://m.media-amazon.com/images/M/MV5BODlhYTE4M2MtNjcyOS00Zjc0LTliNzMtMzJhZmVkOWNjZmE0XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY67_CR2,0,45,67_AL_.jpg"
Thuppakki,2012,7.7,"Action, Thriller",A.R. Murugadoss,Thalapathy Vijay,"https://m.media-amazon.com/images/M/MV5BZjQxYjVkYzQtMmEzNy00MzM1LWE4OTUtZTc0NTdkMjBiOGZiXkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Udta Punjab,2016,7.7,"Crime, Drama",Abhishek Chaubey,Shahid Kapoor,"https://m.media-amazon.com/images/M/MV5BY2YxNjQxYWYtYzNkMi00YTgyLWIwZTMtYzgyYjZlZmYzZTA0XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_UX45_CR0,0,45,67_AL_.jpg"
Unnaipol Oruvan,2009,7.7,"Action, Crime, Drama",Chakri Toleti,Kamal Haasan,"https://m.media-amazon.com/images/M/MV5BNzgwNGI3MTQtMTQ3Yi00NDY2LTlkMzMtMjM0MmY2YTRlMDA5XkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Veer-Zaara,2004,7.7,"Drama, Family, Musical",Yash Chopra,Shah Rukh Khan,"https://m.media-amazon.com/images/M/MV5BY2VlOTc4ZjctYjVlMS00NDYwLWEwZjctZmYzZmVkNGU5NjNjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR1,0,45,67_AL_.jpg"
Vettaiyaadu Vilaiyaadu,2006,7.7,"Action, Crime, Thriller",Gautham Vasudev Menon,Kamal Haasan,"https://m.media-amazon.com/images/M/MV5BMGQzM2YxMDAtOTdlNi00ZWY3LWI3OWMtYWQ2NjJmZWY4MDVhXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Vicky Donor,2012,7.7,"Comedy, Romance",Shoojit Sircar,Ayushmann Khurrana,"https://m.media-amazon.com/images/M/MV5BYWNlODE1ZTEtOTQ5MS00N2QwLTllNjItZDQ2Y2UzMmU5YmI2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR3,0,45,67_AL_.jpg"
Airlift,2016,7.8,"Action, Drama, History",Raja Menon,Akshay Kumar,"https://m.media-amazon.com/images/M/MV5BMGE1ZTkyOTMtMTdiZS00YzI2LTlmYWQtOTE5YWY0NWVlNjlmXkEyXkFqcGdeQXVyNjQ3ODkxMjE@._V1_UY67_CR0,0,45,67_AL_.jpg"
Ankhon Dekhi,2013,7.8,"Comedy, Drama",Rajat Kapoor,Sanjay Mishra,"https://m.media-amazon.com/images/M/MV5BMTY4YjY3ZDgtYjVhZS00MWY4LTlkYmMtNGI4ZGY4YzhiZmIwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR0,0,45,67_AL_.jpg"
Arjun Reddy,2017,7.8,"Action, Drama, Romance",Sandeep Reddy Vanga,Vijay Deverakonda,"https://m.media-amazon.com/images/M/MV5BMzFhMThiOWItMzRjNC00YzQwLTkyZWItYmJhNzgwYzY1ODI0XkEyXkFqcGdeQXVyNTcyMzkyODg@._V1_UY67_CR0,0,45,67_AL_.jpg"
